"","Total_Time","Participant_ID","Q1","Q1_Time","Q2","Q2_Time","Q3","Q3_Time","Q4","Q4_Time","Q5","Q5_Time","Q6","Q6_Time","Q7","Q7_Time","Q8","Q8_Time","Q9","Q9_Time","Q10","Q10_Time","GCB_1","GCB_2","GCB_3","GCB_4","GCB_5","GCB_6","GCB_7","GCB_8","GCB_9","GCB_10","GCB_11","GCB_12","GCB_13","GCB_14","GCB_15","DQ_Pol.Today","DQ_Pol.Gen"
"75","474",81772,"1","18,213","1","29,141","1","30,215","1","37,9","1","22,733","1","34,926","1","18,926","1","23,004","-1","19,935","-1","45,842","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5"
"76","982",59617,"1","31,417","-1","51,455","1","30,824","1","30,956","1","112,557","1","59,19","1","47,765","1","34,888","-1","44,527","-1","186,809","3","2","4","2","5","2","1","5","1","4","4","1","2","2","5","2","4"
"77","442",78180,"1","15,184","1","20,366","1","21,847","1","16,649","-1","33,365","1","20,053","1","16,125","-1","18,771","1","25,53","1","25,162","4","4","2","2","3","4","2","2","4","5","4","4","1","2","5","1","5"
"78","1013",24274,"1","42,747","1","37,35","1","51,886","-1","53,49","1","90,412","1","49,669","1","55,549","1","54,524","-1","61,529","1","51,327","1","1","1","1","2","1","1","2","1","5","1","1","1","1","3","3","3"
"79","1001",60742,"-1","68,851","1","51,369","-1","48,633","1","52,164","1","59,096","1","50,082","-1","41,606","-1","51,162","-1","49,241","1","63,287","2","2","4","2","5","4","2","5","1","2","4","2","2","4","5","8","3"
"80","1672",52326,"1","89,881","1","21,362","1","140,114","-1","72,034","1","96,36","-1","51,266","1","52,507","-1","52,668","1","171,965","1","100,636","2","4","2","3","3","2","4","3","4","4","4","4","3","4","5","2","3"
"81","601",18754,"-1","14,295","-1","35,213","-1","77,798","1","16,972","1","17,516","1","31,196","1","13,962","-1","18,732","1","45,427","-1","31,567","1","1","1","1","1","1","1","3","1","3","2","1","1","2","2","2","5"
"82","421",25111,"1","23,766","-1","19,142","1","30,325","1","24,472","1","31,073","1","16,94","1","13,984","-1","12,836","1","31,653","1","30,204","4","2","2","2","2","4","2","2","3","4","3","2","2","3","4","1","5"
"83","700",89365,"1","45,648","1","46,908","1","43,862","1","66,198","-1","37,838","1","29,366","1","31,219","1","24,432","-1","34,741","1","60,826","1","1","1","1","1","1","1","2","1","1","4","1","1","1","5","1","4"
"84","523",63100,"1","18,752","-1","23,06","1","25,08","1","25,959","1","45,481","1","26,44","1","16,705","-1","26,839","1","44,317","1","42,639","5","2","3","3","3","5","2","3","2","4","5","2","3","3","5","1","5"
"85","446",99522,"1","26,398","1","27,755","1","21,637","1","27,488","1","20,421","1","25,598","1","23,974","-1","23,083","-1","28,903","-1","31,384","3","2","2","2","2","3","2","3","1","3","4","2","3","2","4","1","4"
"86","740",68965,"1","28,945","1","43,783","1","25,327","1","21,322","1","90,603","1","103,678","1","33,169","1","42,026","1","58,772","1","98,889","3","3","2","2","2","2","2","2","2","3","4","3","2","4","5","2","4"
"87","674",34297,"1","34,984","1","54,94","1","37,996","1","43,028","-1","37,241","1","26,627","1","27,174","1","35,6","-1","48,139","-1","26,796","4","2","2","1","1","3","2","3","2","4","3","2","1","2","5","1","4"
"88","505",86268,"1","21,609","-1","38,282","1","24,451","1","20,038","1","25,876","1","30,336","1","41,814","-1","19,293","-1","37,301","-1","41,251","4","2","1","4","2","4","1","1","4","2","3","1","1","3","4","2","5"
"89","504",87673,"-1","24,311","-1","27,636","-1","42,055","1","57,306","1","28,57","1","25,813","1","18,358","-1","18,995","-1","17,185","1","28,904","4","2","3","1","1","2","1","3","2","3","3","2","2","3","3","1","5"
"90","561",19182,"1","32,334","1","20,995","1","25,427","1","30,855","1","47,382","1","47,349","1","30,584","-1","32,739","-1","45,801","-1","41,347","1","1","1","2","1","2","1","3","2","3","2","2","2","4","4","1","4"
"91","572",38633,"1","111,588","1","23,323","1","41,179","1","22,618","1","18,929","1","26,776","1","45,037","-1","26,623","-1","27,307","-1","41,544","2","2","1","1","1","1","1","1","1","2","2","1","1","1","2","1","4"
"92","932",53244,"1","60,082","-1","67,284","1","53,371","1","177,501","1","67,398","1","40,71","1","56,366","-1","33,842","-1","57,078","1","70,476","3","4","1","1","1","2","2","2","2","4","3","2","1","1","4","2","4"
"93","556",25633,"-1","42,549","-1","27,509","-1","21,844","-1","35,802","-1","28,303","1","30,565","-1","30,3","-1","26,361","-1","29,93","1","43,364","5","2","2","4","1","5","1","2","2","5","5","2","2","4","5","3","5"
"94","1046",51937,"1","47,054","1","95,528","1","45,86","-1","27,394","1","31,729","1","27,186","-1","40,48","-1","47,86","-1","129,8","-1","40,601","3","2","1","2","3","4","1","1","1","2","4","2","1","2","4","2","3"
"95","656",32680,"-1","66,617","-1","28,064","1","20,533","1","34,71","1","19,14","1","34,917","-1","47,232","-1","15,278","-1","28,006","1","35,371","4","2","3","2","2","4","1","3","2","5","3","3","2","5","4","8","2"
"96","666",19658,"1","35,793","-1","43,979","1","27,192","1","57,704","-1","29,03","1","28,933","1","39,863","1","40,883","-1","54,673","-1","32,491","4","1","1","2","3","4","1","1","1","5","3","1","1","2","4","1","4"
"97","754",94697,"1","33,819","1","39,226","1","48,44","1","64,438","1","63,37","-1","44,223","1","27,462","1","39,357","-1","38,615","1","35,912","4","3","3","2","4","3","4","4","1","3","3","3","4","3","4","2","4"
"98","615",31934,"1","44,531","-1","23,032","1","41,655","-1","26,156","1","48,977","1","32,903","1","72,567","-1","26,65","-1","39,825","-1","35,647","5","5","2","3","4","3","4","2","2","4","4","4","2","2","4","1","4"
"99","635",29654,"1","40,24","1","24,83","1","32,145","1","105,234","1","33,976","1","26,149","1","27,392","1","19,507","-1","35,361","-1","38,335","4","2","3","3","4","3","2","4","3","5","4","2","2","4","4","1","4"
"100","675",40273,"1","17,543","1","27,094","1","132,475","1","48,42","-1","66,417","1","58,142","1","23,629","1","37,013","1","43,8","1","36,045","5","5","5","5","5","5","5","3","4","3","5","5","3","5","5","8","3"
"101","643",68384,"-1","138,635","-1","39,272","-1","21,789","1","22,276","-1","62,091","1","10,302","-1","21,561","1","34,602","1","11,701","1","12,122","4","3","4","4","4","4","5","4","4","4","4","4","4","4","4","2","3"
"102","714",30765,"1","60,584","1","31,167","1","33,534","1","61,845","-1","53,758","1","40,463","1","43,807","1","70,583","1","61,383","-1","37,047","3","4","4","2","4","4","4","4","4","3","4","3","4","4","4","1","4"
"103","812",43268,"1","27,057","1","30,416","1","36,442","1","52,533","1","45,97","1","39,838","1","38,778","1","32,99","1","25,368","1","30,97","1","1","1","2","4","1","1","2","1","4","1","1","1","1","3","8","2"
"104","2549",62321,"1","64,942","1","125,431","-1","233,126","1","73,226","-1","72,803","-1","135,728","-1","104,499","-1","603,973","1","126,916","1","163,153","2","2","1","2","2","2","4","3","1","2","1","2","3","1","2","1","4"
"105","599",51158,"1","36,77","1","77,963","-1","30,661","1","30,853","-1","42,848","1","26,121","1","30,3","1","31,743","-1","44,773","1","37,73","5","5","3","2","2","4","1","4","4","4","5","2","2","4","5","1","4"
"106","996",68376,"1","39,827","-1","23,48","1","22,249","1","36,217","1","27,1","1","38,174","-1","60,661","-1","20,42","-1","34,95","-1","36,592","5","2","1","2","2","3","2","3","1","3","3","2","1","4","5","1","5"
"107","789",55851,"1","36,059","1","91,641","-1","48,099","1","76,104","1","37,818","1","72,301","-1","27,648","-1","48,344","-1","57,764","1","43,27","3","3","2","3","4","4","3","2","2","3","4","3","3","3","5","8","1"
"108","716",97873,"1","28,266","1","36,531","1","43,667","1","22,625","-1","21,253","1","29,417","1","27,522","-1","19,567","1","39,397","1","31,514","4","3","1","1","1","4","1","3","1","3","3","1","2","1","4","4","5"
"109","845",42122,"1","24,96","-1","71,417","1","59,124","1","55,373","1","32,797","1","26,002","1","63,6","1","42,918","-1","29,352","1","39,472","4","2","1","1","1","1","1","2","1","4","2","1","1","3","3","3","3"
"110","923",82117,"1","27,228","1","33,142","1","67,101","1","42,307","1","108,796","1","25,724","1","44,607","1","68,257","1","33,482","1","79,195","2","2","1","1","2","3","1","2","1","3","4","2","1","1","3","1","4"
