"","Participant_ID","Q1_V1_IH","Q1_Time","Q2_V1_ID","Q2_Time","Q3_V2_IH","Q3_Time","Q4_V2_ID","Q4_Time","Q5_V3_IH","Q5_Time","Q6_V3_ID","Q6_Time","Q7_V4_IH","Q7_Time","Q8_V4_ID","Q8_Time","Q9_V5_IH","Q9_Time","Q10_V5_ID","Q10_Time","Q11_V6_IH","Q11_Time","Q12_V6_ID","Q12_Time","Q13_V7_IH","Q13_Time","Q14_V7_ID","Q14_Time","Q15_V8_IH","Q15_Time","Q16_V8_ID","Q16_Time","Q17_V9_IH","Q17_Time","Q18_V9_ID","Q18_Time","Q19_V10_IH","Q19_Time","Q20_V10_ID","Q20_Time","Total_Time"
"159",63087,"70","18,922","86","52,311","70","52,196","82","18,919","62","29,854","76","17,253","95","37,463","90","26,74","48","39,817","56","16,486","0","24,949","0","24,106","32","9,65","34","58,013","10","15,955","18","27,953","27","12,194","56","30,28","26","23,6","45","14,815","902"
"160",43701,"92","25,401","89","42,575","81","19,909","92","30,879","30","31,314","74","11,217","82","32,15","82","14,7","91","24,86","90","19,063","91","29,063","80","46,76","92","33,947","78","4,748","89","37,037","70","31,487","83","16,731","77","23,655","82","25,087","75","23,783","974"
"161",22387,"100","14,714","90","19,59","65","21,767","80","26,329","75","22,146","50","15,619","95","24,265","90","23,056","90","19,724","85","26,659","30","27,262","10","45,252","65","24,17","70","20,479","55","28,699","60","14,763","85","22,326","80","17,959","30","11,084","25","24,569","734"
"162",44703,"95","13,044","65","18,601","75","102,16","80","37,587","70","49,521","76","63,236","95","15,032","71","22,868","14","121,42","86","18,146","12","16,767","10","20,899","80","9,223","84","18,401","84","26,88","73","17,41","72","11,69","59","29,603","87","41,968","80","23,772","1026"
"163",31802,"100","8,706","51","34,601","48","24,392","51","159,189","100","23,126","80","15,297","92","6,286","71","17,991","8","11,198","78","6,09","10","8,896","9","11,614","83","8,5","100","11,085","62","18,839","100","18,368","100","21,896","80","6,06","100","4,299","100","35,85","706"
"164",87679,"91","14,217","89","58,592","82","54,477","91","31,062","100","25,277","80","30,755","90","23,971","67","48,248","59","27,024","90","24,073","90","10,401","90","32,188","90","14,218","90","57,184","91","25,817","86","18,869","92","30,563","92","24,434","96","34,114","89","54,402","1020"
"165",89196,"90","22,38","86","17,201","75","26,191","70","76,918","85","35,618","71","49,424","75","62,755","59","21,301","80","64,969","75","12,438","60","41,053","61","21,179","70","20,331","58","32,939","80","42,917","51","7,301","51","17,974","85","24,196","75","11,908","50","35,07","1272"
"166",29740,"96","30,196","61","50,022","95","44,142","81","48,415","71","43,536","97","35,697","75","67,771","61","59,718","50","50,871","95","29,338","81","38,646","95","79,096","51","26,738","92","29,753","46","47,553","80","46,833","87","33,364","95","26,246","60","25,406","36","217,877","1605"
"167",25506,"100","21,996","100","8,561","99","12,546","83","35,296","1","35,339","91","7,943","100","6,201","100","26,195","50","16,867","100","287,478","96","7,846","100","17,641","100","6,07","100","19,144","100","16,447","100","51,333","100","278,374","100","6,799","100","2,344","100","80,617","1716"
"168",55808,"100","16,684","100","14,4","90","26,67","31","316,338","80","226,843","66","39,753","92","88,258","71","24,145","71","24,248","91","183,01","30","94,716","29","26,072","97","47,669","83","17,292","95","149,059","92","28,472","81","26,863","86","10,731","87","25,813","100","87,107","1946"
"169",99825,"82","23,154","74","7,821","69","0,375","59","1,77","76","5,373","62","3,733","75","5,268","54","2,323","43","7,55","47","9,447","36","4,625","47","12,547","59","1,465","90","10,081","79","8,091","65","0,817","91","8,118","69","1,901","72","6,766","68","6,93","504"
